"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"GM8560-13",-7.55441196209026,FALSE,26.6,14.22,2.7,NA,2.45,5.38,NA,4.31,6.99,69.94,265.52,163.84,38.56,1.5,NA,1.23,2.5,26.01,2.18,0.74,2.91,2.99,2.57,9.39,1.02,3.6
"SM4574-58",-7.83225257050335,FALSE,27.53,15.04,3.22,44.16,3.82,NA,1.07,4.18,3.86,38.58,273.54,109.46,24.62,1.43,1.02,NA,2.28,12.7,1.38,0.78,2.57,2.79,3.14,10.32,1.13,3.83
"GM4395-27",-7.98475898354573,FALSE,27.15,13.1,2.76,43.23,3.25,5.36,1.12,3.74,6.7,67.03,223.54,97.93,23.13,1.47,1.03,1.12,2.54,13.93,2.14,0.54,2.93,3,2.89,8.33,1,3.98
"PER353",-7.99515228912414,FALSE,27.04,13.55,2.8,44.04,2.35,NA,1.06,3.83,6.77,67.67,225.5,103.22,23.22,1.3,1.02,NA,2.18,12.57,1.21,1.31,2.57,3.03,3.29,8.61,1.06,3.86
"GM8527-12",-8.10503694414471,FALSE,25.71,12.94,2.22,NA,2.88,5.94,NA,3.48,7.28,72.84,258.96,141.71,23.94,1.38,NA,1.12,2.37,14.14,1.79,0.54,2.78,3.01,3.16,8.19,1.14,3.73
"GM4527-4",-8.16387305926724,FALSE,29.09,10.63,3.06,43.71,2.71,NA,1.05,2.75,5.5,54.97,234.3,119.66,25.11,1.57,1.01,NA,2.06,10.37,1.28,0.67,2.51,3.02,3.06,6.57,1.08,3.7
"GM10299-1",-8.30249452924482,FALSE,24.56,19.87,3.04,43.11,2.62,5.37,1.1,5.29,5.64,56.4,251.22,108.66,28.89,1.48,1.03,1.78,2.46,17.41,1.55,1.12,2.83,3.01,2.69,13.47,1.05,4.1
"GM7673-7",-8.33308026646134,FALSE,26.99,9.19,2.06,43.19,2.01,NA,1.07,2.33,9.03,90.28,249.12,172.71,33.04,1.27,1.03,NA,2.64,6.61,2.3,0.44,3.14,1.41,4,5.41,1.07,3.89
"C33",-8.34761861086515,FALSE,28.17,15.95,3.68,43.5,4,2.13,1.1,4.56,7.19,71.92,218.13,62.59,22.03,1.47,1.02,1.37,2.44,14.46,1.67,0.57,2.62,3.01,2.74,10.06,1.06,3.73
"SM4756-19",-8.48900076203893,FALSE,30.45,10.29,3.54,NA,3.4,3.12,NA,3.18,5.71,57.05,261.85,114.38,27.78,2.25,NA,1.55,2.55,NA,NA,NA,3.01,2.55,3.24,6.88,NA,3.88
"ECU72",-8.58680115824575,FALSE,28.82,10.03,2.91,44.01,3.04,NA,1.05,2.65,7.78,77.78,247.45,97.86,22.87,1.47,1.02,NA,2.31,10.48,1.19,0.5,2.71,1.27,2.92,6.01,1.06,3.94
"GM4883-1",-8.74576820730413,FALSE,28.37,16.04,3.82,44.83,2.97,2.06,1.05,4.84,5.85,58.5,248.3,121.42,29.68,2.16,1.03,1.36,2.67,13.28,1.18,0.6,2.91,3.01,1.96,9.87,1.14,4.17
"PER415",-8.84540169657643,FALSE,27.85,10.27,2.63,42.81,1.35,3.55,1.06,2.92,6.83,68.27,265.59,113.8,33.74,1.2,1.07,1.35,2.61,10.04,2.19,0.6,2.75,3.01,3.05,6.39,1.05,4.11
"SM4574-40",-8.87663999179025,FALSE,27.69,13.83,3.2,42.07,3.93,5.25,1.04,3.8,8.47,84.74,267.66,98.3,24.46,1.65,1.02,1.12,2.52,14.97,2.24,0.57,2.93,2.57,2.95,8.78,1.03,4.38
"C19",-8.93229357125697,FALSE,28.77,15.24,3.85,41.35,3.72,1.8,1.03,4.98,5.69,56.93,198.22,65.8,22.13,1.46,1.01,1.18,2.37,14.84,1.41,0.65,2.78,3.01,2.15,10.26,3.16,3.49
